date,stock_code,stock_name,price,support_price,support_date,test_count,reason,sector,market_condition,filtered,filter_reason
2025-05-28,000032.SZ,000032.SZ,19.3724,18.7661,2025-04-08,2,第2次测试支撑后反弹,深市主板,数据不足,False,
2025-10-30,000032.SZ,000032.SZ,20.24,20.1,2025-10-15,3,第3次测试支撑后反弹,深市主板,数据不足,False,
2025-12-10,000032.SZ,000032.SZ,18.69,18.6,2025-11-24,3,第3次测试支撑后反弹,深市主板,数据不足,False,
2025-04-29,000063.SZ,000063.SZ,32.23,30.6307,2025-04-11,4,第4次测试支撑后反弹,深市主板,数据不足,False,
2025-06-03,000063.SZ,000063.SZ,31.63,30.6307,2025-04-11,9,第9次测试支撑后反弹,深市主板,数据不足,False,
2025-06-23,000063.SZ,000063.SZ,31.75,30.86,2025-06-03,4,第4次测试支撑后反弹,深市主板,数据不足,False,
2025-12-30,000063.SZ,000063.SZ,37.84,36.38,2025-12-12,4,第4次测试支撑后反弹,深市主板,数据不足,False,
2026-02-06,000063.SZ,000063.SZ,36.8,35.61,2025-12-16,4,第4次测试支撑后反弹,深市主板,数据不足,False,
2025-04-09,000333.SZ,000333.SZ,66.8974,65.0971,2025-02-26,5,第5次测试支撑后反弹,深市主板,数据不足,False,
2025-08-21,000333.SZ,000333.SZ,71.6602,69.4344,2025-07-31,4,第4次测试支撑后反弹,深市主板,数据不足,False,
2026-02-03,000333.SZ,000333.SZ,78.1,75.91,2026-01-14,4,第4次测试支撑后反弹,深市主板,数据不足,False,
2026-03-09,000333.SZ,000333.SZ,76.6,75.0,2026-01-28,6,第6次测试支撑后反弹,深市主板,数据不足,False,
2025-05-27,000338.SZ,000338.SZ,14.3054,13.6469,2025-04-09,6,第6次测试支撑后反弹,深市主板,数据不足,False,
2025-06-20,000338.SZ,000338.SZ,14.6299,14.0859,2025-05-19,5,第5次测试支撑后反弹,深市主板,数据不足,False,
2025-10-13,000338.SZ,000338.SZ,14.2503,13.3627,2025-09-26,2,第2次测试支撑后反弹,深市主板,数据不足,False,
2025-05-16,000400.SZ,000400.SZ,21.6393,20.7927,2025-04-29,3,第3次测试支撑后反弹,深市主板,数据不足,False,
2025-06-25,000400.SZ,000400.SZ,20.6844,20.5761,2025-06-03,4,第4次测试支撑后反弹,深市主板,数据不足,False,
